breed,size,weight,height,life_span,aka,group,origin,role,facts,behavior,health_concerns,activity,grooming,pic_available,pic_name,friendly,novice,shelter_name
giant shnauzer,large,70 - 95 lbs,"23.5"" - 27.5""",11 -13 years,Reisenschnauzer,working,Germany,Companion Dog,schnauzer/giant,"The Giant Schnauzer is known to be a good police and guard dog. It can be dominating and aggressive, so be sure to provide proper obedience training and early socialization. Although playful and rambunctious, Giant Schnauzers can be sociable to strangers, children, dogs and other animals. However, this breed must be introduced as puppies. This breed makes an excellent choice for an active person that wants a companion in adventure. A Giant Schnauzer will be a loyal, protective addition to the household.",Hip dysplasia; CHD; bloat. Not suitable for inexperienced dog owners. Be sure to obtain your Giant Schnauzer from a reputable breeder to avoid behavioral and health problems.,high,high,TRUE,schnauzer/giant,TRUE,FALSE,giant schnauzer
glan of imaal terrier,medium,34 - 36 lbs,"14""",13 - 14 years,N/A,terrier,Ireland,Companion Dog,"The origin of the Glen of Imaal Terrier is unknown. However, the breed is named after a valley in eastern Ireland. It is the rarest of Ireland's Terriers.","Known as a fierce hunter, the Glen of Imaal Terrier was bred for dog fighting. Although today's breed is normally well-mannered and affectionate, it is known to snap unprovoked at strangers.",Excellent health record. No known hereditary conditions.,medium,medium,,,,,
golden cocker retriever,small,24 - 28 lbs,"14"" - 15""",12 - 15 years,Golden Retriever / Cocker Spaniel Mix,sporting,United States,Companion Dog,"This is not a purebred dog. The breed is a mixture of a Golden Retriever and a Cocker Spaniel. Most will look more like a Golden Retriever, but some might take on more traits of a Cocker Spaniel. Their small stature gave them the nick name �forever puppy",Loving and playful,Hypothyroidism and eye problems,low,high,,,,,
golden retriever,large,55 - 75 lbs,"21.5"" - 24""",12 - 14 years,N/A,sporting,England,Companion Dog,"Lord Tweedmouth is credited for developing the Golden Retriever. His efforts are one of the most well-documented breeding efforts ever recorded. Bred to be good fetchers and retrievers, Golden Retrievers were recognized by the AKC in 1927.","The Golden Retriever is known to be a devoted, loyal and affectionate family dog that thrives on human companionship. This is an enthusiastic breed; lack of mental and physical exercise can lead to behavioral problems. The Golden Retriever is a sweet, playful dog that loves children and other animals. They tend to bark at strangers, although as a greeting rather than a warning.",Hip and elbow dysplasia; cataracts; hot spots; hypothyroidism; lymphoma; subaortic stenosis. Be sure to obtain your Golden Retriever from a reputable breeder in order to avoid behavioral and health problems.,high,high,,,,,
gordon setter,medium,45 - 80 lbs,"23"" - 27""",10 -12 years,N/A,sporting,Great Britain,Companion Dog,"The Gordon Setter originated in Scotland during the 1600s, where it was developed to hunt and retrieve. The Duke of Gordon made the breed popular and it was recognized by the AKC in 1892.",The Gordon Setter is an affectionate family dog that will need early socialization and obedience training. This breed responds best to praise and enjoys human companionship. Gordon Setters are generally barkers and make good watchdogs.,Hip dysplasia; progressive retinal atrophy; hypothyroidism; cerebellar cortical abiotrophy; epilepsy.,high,high,,,,,
grand bleu de gascogne,large,71 - 77 lbs,"24"" - 28""",12 - 14 years,"Grand Gascony Blue, Large Blue Gascony Hound, Great Gascony Blue",sporting,Unknown,"Companion Dog, Hunting","The Grand Bleu de Gascogne is one of the oldest scenthounds, and its origins have not been definitively traced. It is believed that the breed may have been brought to France by Phoenician traders in Ancient Times. During the 1700s, the breed became popular in the U.S. Today the breed is more numerous in the States that it is in France.","This is a calm breed that obeys orders easily. Grand Bleu's are kind and gentle. As a natural pack hound, these dogs are sociable and interact well with other dogs and children.",Arthritis of the hip and elbow; hip dysplasia; bone tumors,high,low,,,,,
grand basset griffon vandeen,medium,40 - 44 lbs,"15"" - 16""",12 - 14 years,Large Vendeen Griffon Basset,hound,France,"Companion Dog, Hunting","This breed originated in the Vendee region of France in the 16th century and is a close relative of the larger Grand Griffon Vendeen. The Grand Basset was bred to accommodate low-lying, thick undergrowth during hunting in the countryside. Another smaller variety, the Petit Basset Griffon Vendeen, first occurred in the same litters as the Grand Basset. Originally used for coursing rabbits, today the breed is still used for hunting and as a companion dog.","Independent, stubborn and strong-willed, this breed may not be the best fit for a first-time dog owner. However, Grand Bassets are affectionate and have a lower than average tendency to snap or bite. This makes the breed a good companion for children. The breed is also loyal and devoted to its owner, but tends to be reserved with strangers. This breed is highly adaptable to different living environments, and adjusts to city and apartment living well as long as it gets plenty of exercise.",Epilepsy; ear infections (help prevent by keeping hair inside the ear closely trimmed),high,medium,,,,,
grand gascons-saintongeois,large,66 - 71 lbs,"25"" - 28""",11 - 12 years,Virelade,sporting,France,Companion Dog,"The Grand Gascon-Saintongeois was originally created in the 1840s by Baron Joseph de Caryon Latour de Virelade. The Baron selectively crossed three breeds: the Ariegeois, the Saintongeois and the Grand Bleu de Gascogne. First used to assist in the hunting of roe deer and other large animals. Grand Gascon-Saintongeois are almost exclusive to France and are more common hunting companions than house pets.",The Grand Gascons-Saintongeois is an easy-going breed that responds well to obedience training. The Grand Gascons-Saintongeois gets along well with other dogs and children. It rarely snaps or bites.,Arthritis of the hip and elbow; hip dysplasia; bone tumors,high,low,,,,,
grand griffon vandeen,large,66 - 77 lbs,"23"" - 26""",12 years,Large Vendeen Griffon,hound,France,"Companion Dog, Hunting","First bred during the Middle Ages, the Grand Griffon Vendeen is a descendant of the Italian St. Hubert Hound and the Griffon Nivernais. Its original use was for boar hunting. Unfortunately, the breed became nearly extinct in France during WWII. However, some breeders revived it by introducing Grand Griffon Vendeen bloodlines from other regions. Today, it is still one of the rarest breeds, and is mostly used for large game hunting (wild boar and deer) and as pets.","Docile and friendly, the Grand Griffon Vendeen's stubborn nature can make this breed a handful. These dogs require firm training. As a hunting dog, this breed is best placed with a family that is active outdoors.",Excellent health record. No known hereditary conditions.,medium,low,,,,,
great dane,large,100 - 120lbs,"28"" - 32""",9 - 10 years,"German Mastiff, Deutche Dogge",working,Germany,"Companion Dog, Guard Dog","The Great Dane borrows its name from the French words meaning ""Big Danish."" However, the breed has nothing to do with Denmark. Great Danes originated in Germany as a mix of the Irish Wolfhound and the English Mastiff. The breed was first used in large animal hunting and as a war dog.","More gentle in nature than in appearance, the Great Dane has a noble demeanor and is friendly to children and other animals. With proper training, the breed makes an excellent guard dog, as well as a good family companion.",Arthritis of the hip and elbow; hip dysplasia; bone tumors; bloat; dilated cardiomyopathy; congenital heart disease; yeast infection; staph infection; prone to tail injuries,medium,low,TRUE,dane/great,TRUE,FALSE,great dane
great pyrenees,large,90 - 132 lbs,"26"" - 32""",9 - 11 years,"Pyrenean Mountain Dog, Chien de Montagne Pyrenees, Great Pyrenean",working,France,"Companion Dog, Guard Dog","This breed is considered an aristocratic brother of two similar breeds: the St. Bernard and the Newfoundland. It is thought that the breed originated in ancient Asia or Siberia. It was later discovered and brought back to France where it was primarily used as a guard dog for flock animals. At the beginning of the 1800s, the breed was nearly extinct, but gradually became reestablished in France, Great Britain and North America.","The Great Pyrenees' devoted, well-mannered and serious nature stems from its history as a guard for sheep. The Great Pyrenees is gentle and loving towards those it knows, but can be wary of strangers and strange animals. It is considered a patient and noble breed, but can get defensive if it feels its territory is being invaded or one of its family members is being harmed. The breed can also be stubborn and independent, and may try to dominate an owner if it senses insecurity in that person. Usually great with kids, other dogs and cats.",Hip dysplasia; prone to skin conditions in very hot climates,high,medium,,,,,
greater swiss mountain dog,large,130 - 135 lbs,"23"" - 29""",10 - 11 years,"Grosser Schweizer Sennenhund, Great Swiss Cattle Dog, Large Swiss Cattle Dog, the ""Swissy""",working,Switzerland,"Companion Dog, Competition, Obedience Work","Thought to be a descendant of the Roman Mastiff, the Greater Swiss Mountain Dog hails from the farming villages of the Swiss Alps. Originally used for helping out around the farm, including drafting and tracking, as well as a watchdog and guard dog. The breed was fairly rare until the early 1900s, when breeders Franz Schertenlieb and Albert Heim collected enough of the animals to revitalize the breed. The Swissy was first introduced to the U.S. in the 1960s.","The Greater Swiss Mountain Dog is eager-to-please, loyal and gentle. The breed is watchful and protective, but not overly-aggressive. It prefers to be with people all the time. It tends to bark at strangers -- but once introduced to a newcomer, will quickly make friends. The breed can sometimes cause trouble with other dogs, but is interacts well with other household pets (if raised with them from an early age). ""Puppyhood"" in the Greater Swiss Mountain Dog lasts longer than in other breeds -- up to 3 years. Physical and mental development is therefore slow, which can be frustrating for some owners.",Hip dysplasia; bloat; distichiasis (abnormal origin of eyelashes along the lid margin causing irritation of the eye); trichiasis (eyelashes turning inward toward the eye causing irritation); epilepsy; digestive disorders,high,high,TRUE,mountain/swiss,TRUE,FALSE,greater swiss mountain dog
greek harehound,medium,38 - 44 lbs,"18"" - 22""",11 years,"Hellenic Hound, Hellenikos Ichnilatis",hound,Greece,"Companion Dog, Hunting","Found primarily in Greece, the Greek Harehound evolved from ancient sight and scent hounds, and is thought to be a close relative to similar dogs found in the Balkans. The breed continues to be used today for hunting rabbit and wild boar in the rocky terrain of Northern Greece. Standards for the breed were developed in the 1950s and, in 1996, the Greek Harehound was the first Greek breed to be recognized by the Federation of International Canines.","This is a good-natured, independent breed. The Greek Harehound thrives on exercise, and will become destructive if caged or unable to exercise for extended periods of time. This breed is fast and powerful, and should only be raised by experienced handlers.",Excellent health record. No known hereditary conditions.,high,low,,,,,
greenland dog,large,66 - 70 lbs,"22"" - 25""",13 - 14 years,Gr�nlandshunden,working,Siberia,"Companion Dog, Sled Dog","It is suspected that the Greenland Dog is a descendant of the dogs that migrated out of Siberia with humans more than 12,000 years ago. The Inuit tribe may have crossed these dogs with local wolves to create the breed. Litters are infrequently born and the breed is quite rare. Most Greenland Dogs are still located in the northern country as working animals. However, some have been dispersed in North America and Northern Europe as pets after owners have taken a trip to Greenland and brought puppies back with them.","Although independent and somewhat aloof, the Greenland Dog will form a strong bond with its owner. This breed has the same good temperament and friendliness toward humans as most Nordic breeds. Over-friendliness and lack of a protective nature means that the Greenland Dog is not ideal for guarding. The breed is a working breed, accustomed to constant physical and mental activity. The Greenland Dog could become depressed or destructive if confined with nothing to do for long periods of time.",Excellent health record. No known hereditary conditions.,high,low,,,,,
greyhound,large,60 - 70 lbs,"27"" - 30""",10 -12 years,English Greyhound,hound,Egypt/Great Britain,"Companion Dog, Lure Coursing, Racing","Carvings of Greyhounds have been found in 4,900 year-old tombs, confirming the ancient origin of this breed. It is believed that Greyhounds are the descendants of the Arabian Sloughi and were first introduced to the West around 900 A.D. when they were brought to England by traders from the Middle East. Because the breed has superb tracking skills and speed, Greyhounds were used originally to hunt deer and wild boar. Today's Greyhounds are used primarily in racing and are sometimes destroyed if they are unsuitable or too old for racing. However many animal groups have been successful rescuing, retraining and placing Greyhounds in family homes.","The Greyhound has a gentle, even-temper and elegant demeanor that is sometimes mistaken for being aloof or timid. Greyhounds are extremely intelligent and bond well with their owners. Temperament with children and other animals will depend on the dog's previous experience. Dogs that have been trained to race are usually raised in kennels where there are many other Greyhounds. These dogs are used to and will continue to enjoy the company of other dogs. Some ex-racing Greyhounds may have a tendency to chase or even kill cats and other small pets. However, most can be trained to peacefully live with their smaller housemates. Greyhounds bred for show tend to have less aggressiveness toward small animals.",Bloat; sensitivity to drugs (including anesthetics and insecticides). It is recommended that owners find a veterinarian that is familiar with Greyhounds and / or related breeds because their sensitivity to anesthetics can make routine surgeries more complicated.,high,medium,,,,,
griffon nivernais,medium,50 - 55 lbs,"21"" - 25""",12 years,"St. Louis's gray Dog, ""Barbouitlard"" (French nickname meaning ""dirty"")",hound,France,"Companion Dog, Hunting","This breed can be traced back to the 1200s, but nearly became extinct until a revitalization program was put together by French breeders in the 1900s.","Serious and focused. The Griffon Nivernais may not be overly-affectionate with people, but it isn't usually timid either. This breed can learn to be affectionate with people if properly handled from an early age. It is a dog that prefers a job to do, and is most often used for hunting birds and small mammals. This breed is happiest with a hunting partner or an active family that spends a lot of time outdoors.",Excellent health record. No known hereditary conditions.,high,low,,,,,
haldenstovare,medium,51 - 64 lbs,"20"" - 25""",12 years,"Haldenstover, Halden Hound",hound,Norway (1900s),"Companion Dog, Hunting","The Haldenstovare is almost exclusive to the southern region of Norway, near Halden. It originated as a cross between the English Foxhound and other local scenthounds. In the 1950s, the breed was finally established to display the physical and mental traits it shows today. Due to a small population, great care and strategy are important in breeding to ensure the health of the Halden Hound.","Pleasantly calm and easy-going, the Haldenstovare is affectionate toward most people. This breed rarely snaps or bites. Unlike other hounds, the Hilden Hound is not a pack hound. It prefers to hunt alone with its owner. This trait may cause trouble with other dogs. Because the breed has such willing characteristics, Hilden Hounds can get along well with other animals if introduced properly.",Behavioral problems are possible due to in-breeding from small gene pool.,high,medium,,,,,
hamiltonstovare,medium,50 - 60 lbs,"20"" - 24""",12 - 13 years,Hamilton Hound,hound,Sweden (1800s),"Companion Dog, Hunting","The Hamiltonstovare was created in the late 1800s by breeder and founder of the Swedish Kennel Club, Adolf Patrick Hamilton. He developed the breed by crossing the German Beagle, English Foxhound and native Swedish Hounds. Due to a small population, great care and strategy are important in breeding to ensure the health of the Hamilton Hound.","The Hamiltonstovare is a gentle extrovert that is happy to be part its family. Historically the breed has was used for hunting, so it has a natural tendency to be highly active. Even the most well-trained dog may sometimes revert back to its hunting instincts, so keep your Hamiltonstovare on a leash or in a fenced-in area when outside -- particularly in rural areas where there is an abundance of potential prey. The high activity level causes most Hamilton Hounds to have a hearty appetite.","Behavioral problems are possible due to in-breeding from small gene pool. Sensitivity to parasites -- including ticks, fleas and tapeworms.",medium,medium,,,,,
hanoverian hound,large,84 - 99 lbs,"20"" - 24""",12 years,"Hanover Hound, Hannoverscher Scweisshund",hound,Germany (1820s),"Companion Dog, Hunting","The Hanoverian Hound is Germany's version of a typical bloodhound. Breeders in the area of Hanover in the central plains of Germany developed the breed by crossing the descendants of 9th century Leithunds with lighter local breeds such as the Haidbracke and the Harzerbracke. Like all blood hounds, the breed has been refined to sniff out a blood trail, sometimes days old, and lead the hunter to dead or wounded game. Originally used for large game tracking, today the Hanoverian Hound is a good hunting companion and pet.",,Excellent health record. No known hereditary conditions.,high,medium,,,,,
harlequin pinscher,small,22 - 26 lbs,"12"" - 14""",12 - 14 years,N/A,working,Germany,Companion Dog,"It is thought that the Harlequin Pinscher was created by crossing smaller varieties of the German Pinscher with smaller herding dogs, such as the Sheltie and the Berger de Pyrenees. Its coloring is a combination of dark spots on a mostly white coat. No registrations of the Harlequin Pinscher have been recorded since the 1930s. It is thought that the breed may be extinct in its pure form -- present today only as a contributor to other mixed breeds.","With an outstanding temperament and gentle nature, the Harlequin Pinscher is the ideal companion for people and children.","It is believed that this breed may have been phased out in its pure form due to many health problems associated with mostly white-haired dogs, such as deafness and blindness.",low,medium,,,,,
harrier,medium,48 - 60 lbs,"18"" - 22""",11 - 12 years,Harehound,hound,Great Britain (Middle Ages),"Companion Dog, Hunting","First developed in western England in the 13th century, the Harrier is most likely a cross of the English Foxhound and the ancestors of the modern-day Beagle. By the early 1900s, the breed was nearly extinct. A revival has establish the breed once again in England and the U.S.","Sweet, cheerful and somewhat playful. Due to its origins as a packhound, it is a very social breed that prefers the company of other dogs, people and children. May be aggressive with cats and other small pets unless it has been raised with them from a young age. Some pet Harriers may take to ""baying"" (prolonged howling) like their hunting ancestors, which may be a nuisance to owners...and their neighbors.","Generally healthy, but dogs from some lines may rarely experience hip dysplasia or epilepsy.",high,medium,,,,,
havanese,small,7 - 13 lbs.,"8"" - 12""",14+ years,Havanese,toy,Mediterranean Region / Cuba (1700s - 1800s),Companion Dog,"The Havanese is a direct descendant of the Bichon lapdogs brought to Cuba in the 1800s and 1900s. As Cuban tastes in dogs changed, the breed became nearly extinct until the 1960s, when Cubans with Havanese pets began immigrating to the U.S. An American breeder took a liking to the breed and advertised in Florida newspapers to obtain enough dogs for revitalization.","Eager-to-please breed that is gentle and affectionate, the Havanese is highly trainable and constantly seeks approval from its owner. This breed will fetch your slippers and other objects -- if you show them how. The Havanese is extremely social and likes to be at the center of activity. Like cats, this breed prefers to perch on furniture or high ledges, so it has a clear view of everything that's happening. Havanese are not prone to barking, but will alert you to the arrival of a stranger or an odd noise.","Lengthy life expectancy can result in typical health problems of elderly dogs, including: cataracts; luxating patellas; poodle eye; dry skin. Long-haired varieties are prone to ear infection.",low,high,,,,,
howawart,large,55 - 90 lbs,"23"" - 28""",12 - 14 years,Hofwarth,working,Germany (Middle Ages / 1900s),"Companion Dog, Guard Dog","Inspired by Germany's ""Hofwarth"" guarding dog of the Middle Ages, the Hovawart was recreated in the early 1900s by crossing select farm dogs from the Black Forest and Hartz Mountain with the German Shepherd, Newfoundland and Kuvasz. The original Hofwarth was used for guarding livestock and property. It was also used in early law enforcement, tracking thieves so they could be brought to justice. Today, the recreated Havawart is still used for guarding and also excels at tracking / search and rescue.","Reserved, pleasant and obedient. The Hovawart enjoys relaxing indoors, but is energetic outside. While devoted to the entire family, the Hovawart tends to be a ""one-person"" dog and will single out a favorite person to form a strong bond with. Its protective nature makes it a good watchdog, but some strains of the breed may become timid or prone to fear biting. Also, the Hovawart becomes attached to its home and property; it is not likely that this breed will stray from home.",Hip dysplasia; hypothyroidism (more common in Hovawarts from European lines),high,medium,,,,,
hungarian greyhound,medium,49 - 68 lbs,"25"" - 28""",12 - 14 years,Magyar Agar,hound,Hungary (Ancient Times),"Companion Dog, Hunting","The Hungarian Greyhound descends from Asian sighthounds brought to Europe by the Magyars in the 900s. Over time, it was crossed with local hounds from Romania and Hungary and with the English Greyhound.","This breed is gentle, affectionate and loyal. The Hungarian Greyhound's calm nature makes it an excellent choice for children. The Hungarian Greyhound is also independent, persistent and bold, so it requires firm obedience training. This breed gets along peacefully with most other dogs, but may need to be de-sensitized to cats and other small animals living in the house. Its natural instinct will be to chase small animals, rather than make friends with them.",Bloat; sensitivity to drugs (including anesthetics and insecticides). It is recommended that owners find a veterinarian that is familiar with Greyhounds and / or related breeds because their sensitivity to anesthetics can make routine surgeries more complicated.,high,medium,,,,,
hungarian shorthaired vizsla,medium,48 - 66 lbs,"21"" - 24""",12 - 15 years,"Vizsla, Hungarian Shorthaired Pointing Dog, R�vidsz�r� Magyar Vizsla",miscellaneous,Hungary (Middle Ages / 1850s),"Companion Dog, Hunting","The Vizsla was first established in the 1500s by crossing the Yellow Turkish Dog with a now-extinct breed, the Pannonian Hound. It was originally used as a pointing and retrieving dog for falcons and other birds. The shorthaired version of the Vizsla was developed in the 1850s, and the wirehaired version was created in the 1930s. Today, the Wirehaired Vizsla is still an excellent hunter and family pet.","Affectionate, sensitive, reliable and obedient, the Vizsla has a gentle nature toward its family. However, this breed is fearless when protecting its owner. The Vizsla can be strong-willed, easily distracted, and tends to be a ""chewer."" This breed requires patience and consistency in discipline from its owner. Its intelligence makes is fairly trainable, but untrained dogs can become difficult to control. The Vizsla is generally good with children and other dogs.",Hip dysplasia,high,medium,,,,,
hungarian wirehaired vizsla,medium,48 - 66 lbs,"21"" - 24""",12 - 15 years,"Vizsla, Hungarian Wirehaired Pointing Dog, Drotz�r� Magyar Vizsla, Wirehaired Vizsla, Magyar Vizsla, Hungarian Vizsla",miscellaneous,Hungary (Middle Ages / 1930s),"Companion Dog, Hunting","The Vizsla was first established in the 1500s by crossing the Yellow Turkish Dog with a now-extinct breed, the Pannonian Hound. It was originally used as a pointing and retrieving dog for the hunt of falcons and other birds. The shorthaired version of the Vizsla was developed in the 1850s, and the wirehaired version was created in the 1930s. Today, the Wirehaired Vizsla is still an excellent hunter and family pet.","Affectionate, sensitive, reliable and obedient, the Vizsla has a gentle nature toward its family. However, this breed is fearless when protecting its owner. The Vizsla can be strong-willed, easily distracted, and tends to be a ""chewer."" This breed requires patience and consistency in discipline from its owner. Its intelligence makes is fairly trainable, but untrained dogs can become difficult to control. The Vizsla is generally good with children and other dogs.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
hygenhund,medium,44 - 53 lbs,"18"" - 23""",12 years,Hygenhound,hound,Norway (1830s),"Companion Dog, Hunting",The Hygenhund is exclusive to Norway and was created in the 1830s by crossing Holstein Hounds from northern Germany with local Norwegian hounds. Today the breed is kept for hunting small game and is rarely kept strictly as a pet.,"Lively with great endurance, this breed is more popular as a hunter than as a companion. Hygenhunds are reliable watchdogs and get along with other dogs fairly well. It's need for exercise and activity makes it most suitable for rural living. The breed is happy to live outside all the time. Hygenhunds have a tendency to snap or bite.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
ibizan,medium,42 - 55 lbs,"22"" - 29""",12 years,"Podenco Ibicenco, Balearic Dog, Ca Eibisenc, Charnique, ""Beezer""",hound,Balearic Islands off the coast of Spain (Ancient Times),"Companion Dog, Hunting","Early drawings of the breed in Egypt suggest that the Ibizan Hound originated there. It may have been brought to the islands of Spain by Phoenician traders around 800 B.C. Over thousands of years, it has refined its skills to become perhaps one of the best all-around hunters -- excelling as a sighthound, scenthound, pointer and retriever.","The Ibezian Hound is quiet, polite, clean and somewhat independent. This breed is affectionate toward its owners, but shy with strangers. The Ibezian Hound's gentle nature makes it good with children and other dogs, but its instincts as a sighthound will cause it to chase smaller animals like cats. Ibizan Hounds are pack dogs, and they consider their human family to be ""the pack."" New babies and new dogs (preferably puppies) must be introduced slowly into the ""pack."" The breed's strong ""chase"" instinct and disregard for the hazards of traffic is a dangerous combination. City environments are not ideal. Even in the country, the Ibizan Hound can jump a 4-foot fence in a single leap. No matter where the Ibizan lives, it should be on a leash at all times when outside. Invisible fences are most effective.",Allergies to certain drugs such as insecticides and flea treatments; seizures; axonal dystrophy (disease of the nerves and muscles),high,low,TRUE,hound/ibizan,TRUE,TRUE,Ibizan Hound
icelandic sheepdog,small,20-30 lbs,"12"" - 16""",12 years,"Iceland Sheepdog, Islandsk Farehond, Friaar Dog, Islenkur Fj�rhundur, Icelandic Dog",herding,Iceland (800s),"Companion Dog, Herding","Iceland's only native breed, the Icelandic Sheepdog was first introduced to the region by the Vikings in 9th and 10th centuries. It is thought to be a close relative of the Buhund.","The Icelandic Sheepdog is hard-working, tough and agile. Cheerful and highly inquisitive, it interacts well with other pets and children. Its good nature and extreme friendliness make it a great family dog. However, like most Spitz-type dogs, it is too friendly to be a guard dog. However, its enthusiastic welcome of visitors helps alert owners that someone is coming. As a working dog, it is happiest when it has a job to do. This social breed is prone to ""home alone anxiety"" and is destructive when left for long periods of time.","Prone to getting parasites from eating contaminated sheep carcasses, but this problem has been reduced dramatically with the proper administration of worming medications.",high,medium,,,,,
irish setter,large,60 - 70 lbs,"25"" - 27""",12 - 13 years,"Irish Red Setter, Modder Rhu, Irish Red-and-White Setter",sport,Ireland (1700s),"Companion Dog, Hunting","The Irish Setter is a descendant of the Old Spanish Pointer and various setting Spaniels. Originally, the breed was white with chestnut spots. Over time, an all-red variety was developed through selective breeding. Today, both varieties are available, although the all-red version is more popular.","The Irish Setter is intelligent, responsive and high-spirited. Proper training is important with this breed due to its independent nature. The Irish Setter has a tendency to develop bad habits and poor manners. However, consistent training and exercise can make the Irish Setter easy and fun to own. The breed fits in well with children and other animals and is a superb hunting companion. Irish Setters make a reasonable watchdog, but they do not have much of a guarding instinct. In other words, they'll alert you, but probably not protect you.","Bloat; epilepsy; skin allergies; auto-immune disease; ear inflammation; hypothyroidism; overactive thyroid gland that causes slow metabolism and weight gain; elbow and hip dysplasia; eye problems (including progressive retinal atrophy, which is a disease of the retina causing blindness)",high,high,,,,,
irish terrier,small,25 - 27 lbs,"18"" - 19""",12 - 15 years,Irish Red Terrier,terrier,Ireland (1700s),"Companion Dog, Hunting, Field Trials",The Irish Terrier originated in the Cork region of Ireland and was developed as a watchdog and vermin hunter. It likely descended from Wheaten Terriers and Old Black-and-Tan Terriers.,"Reckless, courageous and energetic. Irish Terriers are the ""daredevils"" of the canine world, and can be perceived as a bit of a bully with other dogs and pets. Highly active and ready for a good time, this breed is great for active children who can provide hours of adventure. They are extremely loyal and protective of their humans. Irish Terriers are rather willful when it comes to training and can be difficult to housebreak. This breed is intelligent and affectionate with people if socialized during puppyhood. This breed can be a handful and is not recommended for first-time dog owners.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
irish water spaniel,medium,45 - 65 lbs,"21"" - 24""",12 - 14 years,Parti-colored Setter,sporting,Ireland (1800s),"Companion Dog, Retriever, Field Trials","It is unclear how the Irish Water Spaniel came into existence. Some believe that Portuguese fishermen visiting Ireland introduced the Portuguese Water Dog to the region, and it was later crossed with the Standard Poodle, Irish Setter or Curly-Haired Retriever.","This breed is a faithful and attentive hunting companion and pet. The Irish Water Spaniel prefers to be outside, rather than being an inside house pet. This breed is ideal for active families interested in bird hunting, swimming, hiking and other outdoor activities. These dogs have a protective nature; they are guarded with strangers. The breed does well with children and other pets, as long as they are properly introduced. This dog tends to be obedient with those family members who have established leadership, but may ignore the commands and calls of others that it perceives as weak.",Hypothyroidism; eye entropion; ear infections; chronic drooling,high,high,,,,,
irish wolfhound,large,105 - 125 lbs,"30"" - 35""",11 years,N/A,hound,Ireland (Ancient times / 1800s),"Companion Dog, Hunting","The Irish Wolfhound is a descendant of the Cu, an ancient breed that helped early man hunt wolves more than 2,000 years ago. Nearly extinct by the 19th century, the breed was revived by a British army officer named Captain G.A. Graham by crossing Irish Wolfhounds with Great Danes and Deerhounds.","The Irish Wolfhound is intelligent, patient and excellent with children. Requires consistent training as a puppy in order to develop into a manageable adult. Fully-grown Irish Wolfhounds can weigh as much as an adult human, so it is important to teach them not to pull on their leash or jump up on you as a greeting. These dogs are fast learners and are easily trainable. The breed tends to be friendly to everyone -- it does not make a good watch dog. Irish Wolfhounds grow fast, get big, and have even bigger appetites. Be prepared to invest in large quantities of high-quality food to accommodate their growth.",Cardiomyopathy (disease of the heart muscle); bone cancer; bloat; progressive retinal atrophy (disease of the retina causing blindness); Von Willebrand's Disease (bleeding disorder preventing proper clotting of blood); hip dysplasia,medium,medium,,,,,
istrian hound,medium,"Smooth (31 - 44 lbs.), Rough (25 - 53 lbs.)","Smooth (17"" - 22""), Rough (18"" - 23"")",12 years,"Istrian Rough-Coated Hound, Istrian Smooth-Coated Hound, Istrian Setter, Istrski Kratkodlaki Gonic, Istrski Ostrodlaki Gonic",hound,Slovenia (Middle Ages / 1800s),"Companion Dog, Hunting","An ancient scenthound, the Istrian Smooth-Coated Hound is a descendant of Asian scenthounds and European Mastiffs and scenthounds. In the 1800s, the Istrian Rough-Coated Hound was developed as a cross between the Istrian Smooth-Coated Hound and the French Griffon Vendeen.","Because of varying ancestry, the smooth-coated and rough-coated varieties of the Istrian Hound have slightly different temperaments. The original, smooth-coated variety is a loyal hunting partner, affectionate and calm. Its rough-coated counterpart is equally enjoyable, but has a tendency to be more independent (training more difficult). The rough-coated variety is also more versatile in its outdoor abilities because its coat is more resistant to water and cold weather.",Excellent health record. No known hereditary conditions.,high,medium,,,,,
italian greyhound,small,6 - 10 lbs,"13"" - 15""",12 - 15 years,Piccolo Levrieri Italiani,toy,Italy (Ancient Times),Companion Dog,"Perhaps the oldest of any pure companion dog, the Italian Greyhound can be traced back to ancient Egypt. Egyptologists once found one of the mummified canines in a 6,000 year-old tomb. As with the English Greyhound, Phoenician traders are responsible for introducing the breed to Europe, where the ancient Romans began refining the breed.","Affectionate, gentle and sometimes mischievous, the Italian Greyhound was bred to be a companion animal. Thus this breed tends to become quite attached to its owner. The Italian Greyhound can be high strung and occasionally naughty. It is not uncommon for Italian Greyhounds to climb fences or get into things they shouldn't. However, most will have a good nature and interact well with other small dogs and well-behaved children. Italian Greyhounds do not make good companions for large dogs or misbehaving children because this breed has a tendency to snap or bite when frightened. The breed has fragile bones that can be broken during aggressive play. Italian Greyhounds can be difficult to house train, so patience and consistency is necessary. These dogs usually are happiest if there is more than one Italian Greyhound in the family. Overall, this breed makes an excellent companion.","Fractures, slipped knees or broken legs -- especially during puppyhood. Epilepsy; progressive retinal atrophy (disease of the retina causing blindness); sensitivity to anesthetics (routine surgeries more difficult",high,medium,TRUE,greyhound/italian,TRUE,TRUE,italian greyhound
